"";"x.17";"x.18";"x.19";"x.20";"classes"
"88";88;107;109;92;"grey soil"
"89";88;107;109;87;"grey soil"
"90";88;107;109;87;"grey soil"
"91";88;103;109;87;"grey soil"
"92";93;103;109;87;"grey soil"
"93";88;107;109;87;"grey soil"
"94";88;107;113;87;"grey soil"
"95";84;99;104;87;"grey soil"
"96";79;99;100;79;"grey soil"
"97";88;95;100;79;"grey soil"
"98";88;103;109;83;"grey soil"
"99";88;103;113;83;"grey soil"
"100";84;103;104;83;"grey soil"
"101";84;99;109;83;"grey soil"
"102";84;103;104;83;"grey soil"
"103";79;99;100;83;"grey soil"
"104";79;91;104;79;"grey soil"
"105";84;99;104;83;"grey soil"
"106";75;87;93;71;"very damp grey soil"
"107";75;83;85;71;"very damp grey soil"
"108";71;79;77;67;"very damp grey soil"
"109";67;72;81;67;"very damp grey soil"
"110";67;64;81;67;"vegetation stubble"
"111";59;61;77;71;"vegetation stubble"
"112";55;54;85;67;"vegetation stubble"
"113";55;51;74;67;"vegetation stubble"
"114";55;48;70;62;"vegetation stubble"
"115";51;48;70;67;"vegetation stubble"
"116";90;109;112;89;"grey soil"
"117";90;113;117;92;"grey soil"
"118";90;113;122;96;"grey soil"
"119";95;123;127;100;"grey soil"
"120";82;100;108;85;"grey soil"
"121";82;100;108;81;"grey soil"
"122";82;100;104;78;"grey soil"
"123";78;100;104;81;"grey soil"
"124";82;100;108;85;"grey soil"
"125";78;96;96;78;"damp grey soil"
"126";78;91;92;70;"damp grey soil"
"127";78;91;96;74;"damp grey soil"
"128";74;87;92;70;"damp grey soil"
"129";74;87;88;66;"damp grey soil"
"130";78;87;88;66;"damp grey soil"
"131";74;83;92;66;"damp grey soil"
"132";70;83;92;66;"damp grey soil"
"133";59;60;96;81;"cotton crop"
"134";56;49;104;100;"cotton crop"
"135";49;40;112;114;"cotton crop"
"136";63;67;104;85;"cotton crop"
"137";82;96;104;78;"grey soil"
"138";86;100;108;85;"grey soil"
"139";90;104;112;85;"grey soil"
"140";86;104;108;85;"grey soil"
"141";86;104;108;85;"grey soil"
"142";86;100;108;85;"grey soil"
"143";90;104;112;89;"grey soil"
"144";90;104;112;85;"grey soil"
"145";90;109;112;85;"grey soil"
"146";90;109;117;89;"grey soil"
"147";90;109;112;89;"grey soil"
"148";90;109;112;89;"grey soil"
"149";90;104;117;92;"grey soil"
"150";90;109;112;89;"grey soil"
"151";90;109;112;89;"grey soil"
"152";90;104;112;89;"grey soil"
"153";86;104;108;89;"grey soil"
"154";90;104;108;92;"grey soil"
"155";90;109;108;89;"grey soil"
"156";86;104;112;85;"grey soil"
"157";86;96;104;81;"grey soil"
"158";86;104;108;85;"grey soil"
"159";90;109;112;92;"grey soil"
"160";86;109;108;89;"grey soil"
"161";86;109;112;89;"grey soil"
"162";90;109;112;92;"grey soil"
"163";86;104;108;89;"grey soil"
"164";86;104;104;85;"grey soil"
"165";82;100;100;85;"grey soil"
"166";82;100;104;78;"grey soil"
"167";82;100;104;81;"grey soil"
"168";86;100;104;81;"grey soil"
"169";82;96;100;81;"grey soil"
"170";82;96;104;78;"grey soil"
"171";86;96;104;81;"grey soil"
"172";82;96;100;81;"grey soil"
"173";82;100;104;78;"grey soil"
"174";82;96;104;85;"grey soil"
"175";86;100;108;85;"grey soil"
"176";86;100;112;85;"grey soil"
"177";86;100;112;85;"grey soil"
"178";82;96;100;81;"very damp grey soil"
"179";78;83;84;70;"very damp grey soil"
"180";70;75;76;66;"very damp grey soil"
"181";66;71;80;66;"vegetation stubble"
"182";66;63;76;66;"vegetation stubble"
"183";59;60;73;63;"vegetation stubble"
"184";59;56;76;66;"vegetation stubble"
"185";59;53;76;70;"vegetation stubble"
"186";56;49;73;70;"vegetation stubble"
"187";92;103;110;86;"grey soil"
"188";87;103;114;90;"grey soil"
"189";92;122;135;109;"grey soil"
"190";92;108;114;86;"grey soil"
"191";83;103;105;83;"grey soil"
"192";79;103;110;83;"grey soil"
"193";79;99;105;83;"grey soil"
"194";83;91;97;72;"damp grey soil"
"195";83;91;97;72;"damp grey soil"
"196";79;91;93;72;"damp grey soil"
"197";79;91;90;68;"damp grey soil"
"198";79;88;93;68;"damp grey soil"
"199";75;91;93;68;"damp grey soil"
"200";75;84;90;68;"damp grey soil"
"201";75;84;93;72;"damp grey soil"
"202";75;88;90;68;"damp grey soil"
"203";75;88;93;72;"damp grey soil"
"204";63;77;86;72;"cotton crop"
"205";49;45;119;116;"cotton crop"
"206";46;37;119;127;"cotton crop"
"207";46;32;119;131;"cotton crop"
"208";42;34;119;131;"cotton crop"
"209";46;34;119;131;"cotton crop"
"210";71;77;97;75;"cotton crop"
"211";87;103;105;86;"grey soil"
"212";87;95;105;83;"grey soil"
"213";83;99;110;83;"grey soil"
"214";87;99;105;86;"grey soil"
"215";96;112;114;90;"grey soil"
"216";87;108;110;90;"grey soil"
"217";92;108;110;86;"grey soil"
"218";87;103;110;90;"grey soil"
"219";87;103;114;86;"grey soil"
"220";92;108;114;86;"grey soil"
"221";92;108;110;86;"grey soil"
"222";92;103;105;86;"grey soil"
"223";87;99;105;83;"grey soil"
"224";87;103;105;86;"grey soil"
"225";92;108;110;90;"grey soil"
"226";87;108;119;90;"grey soil"
"227";87;103;110;86;"grey soil"
"228";83;103;110;83;"grey soil"
"229";79;95;105;79;"grey soil"
"230";87;95;97;83;"grey soil"
"231";83;99;101;79;"grey soil"
"232";83;99;105;79;"grey soil"
"233";79;99;97;79;"grey soil"
"234";83;95;105;83;"grey soil"
"235";83;95;101;79;"grey soil"
"236";83;99;105;83;"grey soil"
"237";83;103;105;83;"grey soil"
"238";87;103;105;83;"grey soil"
"239";79;88;97;72;"very damp grey soil"
"240";71;81;86;68;"very damp grey soil"
"241";71;77;82;64;"very damp grey soil"
"242";71;81;82;68;"very damp grey soil"
"243";67;73;75;60;"very damp grey soil"
"244";63;66;68;57;"very damp grey soil"
"245";63;63;72;60;"vegetation stubble"
"246";63;66;72;64;"very damp grey soil"
"247";59;57;75;64;"vegetation stubble"
"248";97;115;119;97;"grey soil"
"249";89;120;124;97;"grey soil"
"250";93;115;124;101;"grey soil"
"251";93;125;135;104;"grey soil"
"252";93;130;129;101;"grey soil"
"253";89;120;129;97;"grey soil"
"254";78;102;110;83;"grey soil"
"255";78;102;105;80;"grey soil"
"256";78;97;101;80;"grey soil"
"257";78;92;93;73;"damp grey soil"
"258";74;92;93;69;"damp grey soil"
"259";78;88;97;73;"damp grey soil"
"260";82;88;97;73;"damp grey soil"
"261";78;88;93;73;"damp grey soil"
"262";82;92;93;73;"damp grey soil"
"263";78;88;93;73;"damp grey soil"
"264";78;84;93;69;"damp grey soil"
"265";74;84;89;69;"damp grey soil"
"266";74;88;93;76;"damp grey soil"
"267";67;75;93;80;"cotton crop"
"268";57;63;97;90;"cotton crop"
"269";47;40;119;122;"cotton crop"
"270";44;34;124;136;"cotton crop"
"271";44;34;124;136;"cotton crop"
"272";42;31;124;133;"cotton crop"
"273";44;34;119;133;"cotton crop"
"274";53;56;105;97;"cotton crop"
"275";74;92;101;76;"grey soil"
"276";85;102;110;83;"grey soil"
"277";85;97;105;83;"grey soil"
"278";82;97;105;83;"grey soil"
"279";93;106;114;90;"grey soil"
"280";93;115;114;90;"grey soil"
"281";93;115;114;90;"grey soil"
"282";93;111;119;90;"grey soil"
"283";89;106;110;87;"grey soil"
"284";89;102;110;87;"grey soil"
"285";93;111;110;94;"grey soil"
"286";93;106;114;87;"grey soil"
"287";85;106;110;87;"grey soil"
"288";89;106;114;90;"grey soil"
"289";89;111;110;83;"grey soil"
"290";89;111;114;87;"grey soil"
"291";89;111;110;87;"grey soil"
"292";89;106;114;90;"grey soil"
"293";89;102;114;90;"grey soil"
"294";89;106;114;87;"grey soil"
"295";85;102;110;87;"grey soil"
"296";89;97;105;83;"grey soil"
"297";85;102;105;87;"grey soil"
"298";85;102;101;80;"grey soil"
"299";85;97;101;83;"grey soil"
"300";85;102;110;83;"grey soil"
"301";89;106;114;87;"grey soil"
"302";85;102;105;83;"grey soil"
"303";85;102;101;83;"grey soil"
"304";82;102;114;87;"grey soil"
"305";89;106;114;83;"grey soil"
"306";82;102;105;83;"grey soil"
"307";78;102;105;83;"grey soil"
"308";82;106;105;87;"grey soil"
"309";82;97;105;87;"grey soil"
"310";70;88;89;69;"very damp grey soil"
"311";74;79;85;69;"very damp grey soil"
"312";70;79;82;62;"very damp grey soil"
"313";67;75;74;62;"very damp grey soil"
"314";60;63;74;58;"very damp grey soil"
"315";92;120;125;98;"grey soil"
"316";88;120;125;98;"grey soil"
"317";88;125;136;109;"grey soil"
"318";88;125;136;105;"grey soil"
"319";88;125;125;102;"grey soil"
"320";80;98;102;79;"grey soil"
"321";80;98;102;79;"grey soil"
"322";80;98;98;79;"grey soil"
"323";80;98;102;76;"grey soil"
"324";84;94;98;76;"damp grey soil"
"325";80;94;94;72;"damp grey soil"
"326";80;89;98;72;"damp grey soil"
"327";80;89;90;68;"damp grey soil"
"328";80;85;90;68;"damp grey soil"
"329";72;85;94;72;"damp grey soil"
"330";57;49;111;109;"cotton crop"
"331";50;40;125;128;"cotton crop"
"332";47;34;125;135;"cotton crop"
"333";44;34;131;131;"cotton crop"
"334";44;34;120;135;"cotton crop"
"335";44;34;131;135;"cotton crop"
"336";47;31;131;139;"cotton crop"
"337";41;31;131;135;"cotton crop"
"338";41;31;131;139;"cotton crop"
"339";64;73;106;83;"cotton crop"
"340";84;102;106;83;"grey soil"
"341";88;111;111;91;"grey soil"
"342";88;102;115;87;"grey soil"
"343";84;111;106;87;"grey soil"
"344";92;106;111;87;"grey soil"
"345";92;111;111;87;"grey soil"
"346";88;106;106;83;"grey soil"
"347";84;102;106;83;"grey soil"
"348";88;106;106;87;"grey soil"
"349";88;111;115;83;"grey soil"
"350";88;111;111;87;"grey soil"
"351";92;106;111;87;"grey soil"
"352";88;106;111;87;"grey soil"
"353";84;106;115;91;"grey soil"
"354";88;111;115;87;"grey soil"
"355";88;106;111;87;"grey soil"
"356";92;111;115;91;"grey soil"
"357";92;115;120;94;"grey soil"
"358";88;111;111;91;"grey soil"
"359";84;106;111;87;"grey soil"
"360";88;106;115;87;"grey soil"
"361";92;106;111;87;"grey soil"
"362";88;102;106;83;"grey soil"
"363";88;106;106;83;"grey soil"
"364";88;106;115;87;"grey soil"
"365";84;102;115;91;"grey soil"
"366";88;111;120;94;"grey soil"
"367";88;106;111;91;"grey soil"
"368";88;106;106;87;"grey soil"
"369";88;106;111;87;"grey soil"
"370";88;102;111;83;"grey soil"
"371";84;102;106;83;"grey soil"
"372";88;102;115;87;"grey soil"
"373";84;102;102;83;"grey soil"
"374";80;98;98;79;"grey soil"
"375";84;98;106;83;"grey soil"
"376";80;98;98;79;"grey soil"
"377";76;85;86;72;"very damp grey soil"
"378";76;85;86;72;"very damp grey soil"
"379";68;85;86;68;"very damp grey soil"
"380";72;81;82;68;"very damp grey soil"
"381";72;81;86;68;"very damp grey soil"
"382";72;77;78;61;"very damp grey soil"
"383";88;126;139;103;"grey soil"
"384";88;121;133;103;"grey soil"
"385";88;121;128;99;"grey soil"
"386";92;116;122;99;"grey soil"
"387";84;99;104;78;"grey soil"
"388";80;95;100;78;"grey soil"
"389";80;99;100;74;"grey soil"
"390";80;95;100;74;"damp grey soil"
"391";84;95;100;74;"damp grey soil"
"392";71;91;96;74;"damp grey soil"
"393";76;91;96;70;"damp grey soil"
"394";71;79;96;74;"cotton crop"
"395";56;54;108;103;"cotton crop"
"396";56;54;104;92;"cotton crop"
"397";53;45;113;114;"cotton crop"
"398";46;34;133;146;"cotton crop"
"399";46;31;139;143;"cotton crop"
"400";46;31;133;146;"cotton crop"
"401";43;31;139;146;"cotton crop"
"402";43;31;133;139;"cotton crop"
"403";43;31;128;135;"cotton crop"
"404";43;31;128;135;"cotton crop"
"405";46;34;133;132;"cotton crop"
"406";43;31;128;135;"cotton crop"
"407";46;34;118;132;"cotton crop"
"408";50;51;113;103;"cotton crop"
"409";71;87;104;81;"cotton crop"
"410";88;103;108;88;"grey soil"
"411";88;103;108;88;"grey soil"
"412";92;107;113;88;"grey soil"
"413";88;103;113;85;"grey soil"
"414";88;103;108;88;"grey soil"
"415";92;107;113;88;"grey soil"
"416";88;107;113;88;"grey soil"
"417";88;107;113;88;"grey soil"
"418";88;107;118;88;"grey soil"
"419";88;107;113;88;"grey soil"
"420";88;107;108;85;"grey soil"
"421";88;107;104;88;"grey soil"
"422";88;107;113;85;"grey soil"
"423";84;103;108;85;"grey soil"
"424";88;107;118;92;"grey soil"
"425";88;107;113;88;"grey soil"
"426";88;107;113;88;"grey soil"
"427";88;107;113;92;"grey soil"
"428";84;99;108;85;"grey soil"
"429";84;103;113;88;"grey soil"
"430";88;107;113;85;"grey soil"
"431";88;103;108;85;"grey soil"
"432";88;107;113;88;"grey soil"
"433";88;103;113;92;"grey soil"
"434";84;107;113;88;"grey soil"
"435";92;112;118;92;"grey soil"
"436";88;103;113;85;"grey soil"
"437";88;107;113;88;"grey soil"
"438";88;103;118;85;"grey soil"
"439";88;99;108;85;"grey soil"
"440";84;103;108;85;"grey soil"
"441";84;99;104;81;"grey soil"
"442";80;95;91;74;"very damp grey soil"
"443";76;87;96;70;"very damp grey soil"
"444";68;79;83;67;"very damp grey soil"
"445";68;79;83;67;"very damp grey soil"
"446";71;75;87;67;"very damp grey soil"
"447";71;75;79;63;"very damp grey soil"
"448";71;83;91;74;"very damp grey soil"
"449";71;79;79;67;"very damp grey soil"
"450";88;126;134;104;"grey soil"
"451";88;121;128;104;"grey soil"
"452";93;116;123;96;"grey soil"
"453";88;111;118;92;"grey soil"
"454";88;103;109;87;"grey soil"
"455";84;107;113;87;"grey soil"
"456";84;103;104;83;"grey soil"
"457";84;99;100;79;"grey soil"
"458";84;95;104;79;"grey soil"
"459";84;99;100;75;"grey soil"
"460";84;91;100;75;"damp grey soil"
"461";84;95;100;79;"damp grey soil"
"462";71;83;96;75;"cotton crop"
"463";59;58;104;100;"cotton crop"
"464";51;45;113;116;"cotton crop"
"465";44;34;128;129;"cotton crop"
"466";44;34;123;129;"cotton crop"
"467";48;37;118;121;"cotton crop"
"468";44;37;128;137;"cotton crop"
"469";41;32;139;150;"cotton crop"
"470";44;29;139;150;"cotton crop"
"471";44;27;134;146;"cotton crop"
"472";44;34;118;129;"cotton crop"
"473";48;34;123;133;"cotton crop"
"474";48;32;128;129;"cotton crop"
"475";48;37;123;125;"cotton crop"
"476";59;58;104;92;"cotton crop"
"477";88;107;109;87;"grey soil"
"478";88;107;113;87;"grey soil"
"479";88;107;109;87;"grey soil"
"480";88;107;104;83;"grey soil"
"481";88;107;109;87;"grey soil"
"482";88;103;109;87;"grey soil"
"483";88;111;109;87;"grey soil"
"484";93;107;113;92;"grey soil"
"485";93;111;109;87;"grey soil"
"486";93;111;109;87;"grey soil"
"487";84;103;104;83;"grey soil"
"488";88;107;109;87;"grey soil"
"489";84;107;109;92;"grey soil"
"490";88;107;109;87;"grey soil"
"491";84;107;109;92;"grey soil"
"492";84;103;109;83;"grey soil"
"493";88;103;109;83;"grey soil"
"494";88;107;109;87;"grey soil"
"495";88;111;109;92;"grey soil"
"496";84;111;113;92;"grey soil"
"497";88;111;123;96;"grey soil"
"498";93;116;118;96;"grey soil"
"499";88;111;113;87;"grey soil"
"500";84;103;109;83;"grey soil"
"501";88;103;113;87;"grey soil"
"502";88;107;109;87;"grey soil"
"503";88;103;109;87;"grey soil"
"504";84;99;104;79;"grey soil"
"505";75;83;85;67;"very damp grey soil"
"506";75;79;85;71;"very damp grey soil"
"507";71;79;85;67;"very damp grey soil"
"508";75;79;81;67;"very damp grey soil"
"509";75;83;89;67;"very damp grey soil"
"510";75;83;85;67;"very damp grey soil"
"511";75;83;89;71;"very damp grey soil"
"512";75;79;89;71;"very damp grey soil"
"513";90;123;127;103;"grey soil"
"514";90;118;122;96;"grey soil"
"515";86;109;112;92;"grey soil"
"516";90;113;122;92;"grey soil"
"517";90;109;112;92;"grey soil"
"518";82;100;104;81;"grey soil"
"519";82;100;96;78;"grey soil"
"520";78;96;100;81;"damp grey soil"
"521";49;37;122;125;"cotton crop"
"522";43;32;127;133;"cotton crop"
"523";43;34;127;133;"cotton crop"
"524";43;32;122;133;"cotton crop"
"525";52;40;112;114;"cotton crop"
"526";52;37;117;122;"cotton crop"
"527";46;29;138;151;"cotton crop"
"528";49;32;138;151;"cotton crop"
"529";46;29;133;151;"cotton crop"
"530";46;29;138;147;"cotton crop"
"531";46;29;133;140;"cotton crop"
"532";46;32;122;125;"cotton crop"
"533";46;34;122;125;"cotton crop"
"534";46;34;122;129;"cotton crop"
"535";49;43;117;111;"cotton crop"
"536";66;71;100;85;"cotton crop"
"537";82;96;104;81;"grey soil"
"538";86;104;108;85;"grey soil"
"539";86;104;108;89;"grey soil"
"540";90;109;112;89;"grey soil"
"541";90;109;112;89;"grey soil"
"542";90;109;112;89;"grey soil"
"543";86;109;108;89;"grey soil"
"544";86;104;108;85;"grey soil"
"545";86;104;108;89;"grey soil"
"546";86;104;112;85;"grey soil"
"547";86;104;108;89;"grey soil"
"548";86;104;108;89;"grey soil"
"549";82;104;112;89;"grey soil"
"550";86;109;112;92;"grey soil"
"551";82;100;104;85;"grey soil"
"552";90;109;117;85;"grey soil"
"553";90;109;117;92;"grey soil"
"554";90;113;122;96;"grey soil"
"555";95;113;117;96;"grey soil"
"556";86;104;108;85;"grey soil"
"557";86;100;108;81;"grey soil"
"558";90;109;108;85;"grey soil"
"559";82;96;100;78;"very damp grey soil"
"560";70;79;84;66;"very damp grey soil"
"561";70;79;80;66;"very damp grey soil"
"562";66;75;80;66;"very damp grey soil"
"563";66;71;80;63;"very damp grey soil"
"564";70;79;80;70;"very damp grey soil"
"565";74;83;84;70;"very damp grey soil"
"566";70;75;76;63;"very damp grey soil"
"567";70;75;76;63;"very damp grey soil"
"568";74;83;84;66;"very damp grey soil"
"569";74;83;84;70;"very damp grey soil"
"570";74;83;80;70;"very damp grey soil"
"571";92;127;135;105;"grey soil"
"572";96;117;119;94;"grey soil"
"573";92;112;119;90;"grey soil"
"574";92;112;114;94;"grey soil"
"575";92;112;119;94;"grey soil"
"576";92;108;114;90;"grey soil"
"577";87;103;105;83;"grey soil"
"578";83;99;101;79;"grey soil"
"579";79;91;105;79;"damp grey soil"
"580";71;73;101;90;"cotton crop"
"581";63;57;105;101;"cotton crop"
"582";46;34;130;135;"cotton crop"
"583";42;32;130;135;"cotton crop"
"584";42;34;124;135;"cotton crop"
"585";46;37;119;131;"cotton crop"
"586";42;30;135;157;"cotton crop"
"587";42;30;135;150;"cotton crop"
"588";46;32;124;131;"cotton crop"
"589";49;34;124;131;"cotton crop"
"590";46;34;119;131;"cotton crop"
"591";46;37;130;127;"cotton crop"
"592";75;84;101;79;"cotton crop"
"593";87;99;105;83;"grey soil"
"594";87;103;110;86;"grey soil"
"595";87;103;114;86;"grey soil"
"596";87;108;119;90;"grey soil"
"597";92;112;119;90;"grey soil"
"598";92;108;110;90;"grey soil"
"599";92;112;119;90;"grey soil"
"600";92;108;110;86;"grey soil"
"601";87;103;105;86;"grey soil"
"602";87;108;110;86;"grey soil"
"603";87;112;114;90;"grey soil"
"604";83;103;105;83;"grey soil"
"605";87;103;105;86;"grey soil"
"606";83;103;110;90;"grey soil"
"607";87;108;110;90;"grey soil"
"608";87;108;110;90;"grey soil"
"609";92;108;114;86;"grey soil"
"610";87;103;105;86;"grey soil"
"611";96;112;114;94;"grey soil"
"612";92;117;124;98;"grey soil"
"613";92;108;114;90;"grey soil"
"614";92;103;110;86;"grey soil"
"615";75;91;93;72;"very damp grey soil"
"616";63;66;72;60;"very damp grey soil"
"617";67;70;72;60;"very damp grey soil"
"618";71;73;75;60;"very damp grey soil"
"619";67;73;72;60;"very damp grey soil"
"620";63;70;75;57;"very damp grey soil"
"621";71;77;82;64;"very damp grey soil"
"622";71;77;82;64;"very damp grey soil"
"623";71;77;75;64;"very damp grey soil"
"624";71;77;82;68;"very damp grey soil"
"625";71;88;93;72;"very damp grey soil"
"626";75;84;90;68;"very damp grey soil"
"627";67;73;75;60;"very damp grey soil"
"628";63;66;72;57;"very damp grey soil"
"629";93;125;129;104;"grey soil"
"630";93;120;124;94;"grey soil"
"631";93;115;119;94;"grey soil"
"632";89;115;119;90;"grey soil"
"633";89;115;114;94;"grey soil"
"634";93;115;124;97;"grey soil"
"635";97;111;119;94;"grey soil"
"636";93;106;114;90;"grey soil"
"637";89;106;101;80;"grey soil"
"638";74;75;97;83;"cotton crop"
"639";53;49;114;108;"cotton crop"
"640";47;37;119;126;"cotton crop"
"641";44;31;124;133;"cotton crop"
"642";44;31;129;140;"cotton crop"
"643";44;34;129;143;"cotton crop"
"644";44;31;129;140;"cotton crop"
"645";44;34;124;136;"cotton crop"
"646";44;31;124;140;"cotton crop"
"647";44;34;129;136;"cotton crop"
"648";44;31;124;136;"cotton crop"
"649";44;37;119;126;"cotton crop"
"650";50;43;110;115;"cotton crop"
"651";44;34;129;143;"cotton crop"
"652";44;29;124;143;"cotton crop"
"653";44;34;129;143;"cotton crop"
"654";44;34;119;136;"cotton crop"
"655";42;34;119;129;"cotton crop"
"656";44;34;114;129;"cotton crop"
"657";47;37;114;126;"cotton crop"
"658";47;34;119;126;"cotton crop"
"659";47;34;114;126;"cotton crop"
"660";47;34;114;122;"cotton crop"
"661";47;37;114;126;"cotton crop"
"662";47;40;114;115;"cotton crop"
"663";57;60;105;94;"cotton crop"
"664";85;102;105;83;"grey soil"
"665";89;106;114;90;"grey soil"
"666";89;106;110;90;"grey soil"
"667";93;106;114;87;"grey soil"
"668";93;111;119;94;"grey soil"
"669";93;111;114;90;"grey soil"
"670";89;106;114;83;"grey soil"
"671";89;106;110;87;"grey soil"
"672";89;106;114;90;"grey soil"
"673";89;106;114;87;"grey soil"
"674";89;111;110;90;"grey soil"
"675";89;106;114;90;"grey soil"
"676";89;111;114;94;"grey soil"
"677";97;120;119;97;"grey soil"
"678";93;115;114;90;"grey soil"
"679";85;97;105;80;"grey soil"
"680";78;88;89;73;"vegetation stubble"
"681";70;84;82;65;"vegetation stubble"
"682";63;71;78;58;"vegetation stubble"
"683";67;71;78;58;"vegetation stubble"
"684";67;75;82;62;"very damp grey soil"
"685";67;71;74;58;"very damp grey soil"
"686";63;67;70;55;"very damp grey soil"
"687";67;71;70;58;"very damp grey soil"
"688";70;84;93;76;"very damp grey soil"
"689";78;84;89;73;"very damp grey soil"
"690";74;88;89;69;"very damp grey soil"
"691";70;79;85;65;"very damp grey soil"
"692";67;79;82;65;"very damp grey soil"
"693";67;79;78;65;"very damp grey soil"
"694";67;75;74;62;"very damp grey soil"
"695";67;67;70;55;"very damp grey soil"
"696";92;120;120;98;"grey soil"
"697";92;115;115;94;"grey soil"
"698";88;102;111;87;"grey soil"
"699";84;106;111;91;"grey soil"
"700";88;111;111;87;"grey soil"
"701";92;106;115;91;"grey soil"
"702";88;102;111;83;"grey soil"
"703";76;77;102;83;"cotton crop"
"704";53;40;115;116;"cotton crop"
"705";44;29;125;135;"cotton crop"
"706";50;31;131;135;"cotton crop"
"707";44;31;125;135;"cotton crop"
"708";44;34;131;139;"cotton crop"
"709";47;31;125;139;"cotton crop"
"710";47;31;125;135;"cotton crop"
"711";44;31;120;131;"cotton crop"
"712";50;40;115;113;"cotton crop"
"713";50;46;111;116;"cotton crop"
"714";44;29;136;146;"cotton crop"
"715";44;31;136;139;"cotton crop"
"716";44;31;131;135;"cotton crop"
"717";44;31;120;131;"cotton crop"
"718";44;31;120;128;"cotton crop"
"719";44;34;120;120;"cotton crop"
"720";80;98;102;79;"grey soil"
"721";84;102;102;87;"grey soil"
"722";88;106;111;87;"grey soil"
"723";88;102;111;83;"grey soil"
"724";92;115;115;91;"grey soil"
"725";88;111;115;91;"grey soil"
"726";92;106;115;87;"grey soil"
"727";92;111;115;91;"grey soil"
"728";97;111;120;91;"grey soil"
"729";92;111;111;87;"grey soil"
"730";88;106;111;87;"grey soil"
"731";88;106;111;87;"grey soil"
"732";92;106;111;91;"grey soil"
"733";92;111;115;91;"grey soil"
"734";92;115;120;94;"grey soil"
"735";92;120;120;94;"grey soil"
"736";92;106;111;87;"grey soil"
"737";76;85;90;68;"vegetation stubble"
"738";64;77;78;61;"vegetation stubble"
"739";60;66;67;57;"vegetation stubble"
"740";64;69;71;57;"vegetation stubble"
"741";64;66;67;54;"vegetation stubble"
